DATE,Time,Temp
10/3/2019,01:53:00,76
10/3/2019,02:53:00,75
10/3/2019,03:53:00,75
10/3/2019,04:53:00,74
10/3/2019,05:53:00,74
10/3/2019,06:53:00,80
10/3/2019,07:53:00,86
10/3/2019,08:53:00,91
10/3/2019,09:53:00,95
10/3/2019,10:53:00,97
10/3/2019,11:53:00,97
10/3/2019,12:53:00,99
10/3/2019,13:53:00,99
10/3/2019,14:53:00,101
10/3/2019,15:53:00,98
10/3/2019,16:53:00,96
10/3/2019,17:53:00,93
10/3/2019,18:53:00,84
10/3/2019,19:53:00,83
10/3/2019,20:53:00,81
10/3/2019,21:53:00,80
10/3/2019,22:53:00,80
10/3/2019,23:53:00,78
10/4/2019,00:53:00,76
10/4/2019,01:53:00,75
10/4/2019,02:53:00,73
10/4/2019,03:53:00,72
10/4/2019,04:53:00,72
10/4/2019,05:53:00,72
10/4/2019,06:53:00,78
10/4/2019,07:53:00,82
10/4/2019,08:53:00,87
10/4/2019,09:53:00,90
10/4/2019,10:53:00,95
10/4/2019,11:53:00,95
10/4/2019,12:53:00,98
10/4/2019,13:53:00,97
10/4/2019,14:53:00,97
10/4/2019,15:53:00,96
10/4/2019,16:53:00,92
10/4/2019,17:53:00,88
10/4/2019,18:53:00,87
10/4/2019,19:53:00,84
10/4/2019,20:53:00,82
10/4/2019,21:53:00,79
10/4/2019,22:53:00,76
10/4/2019,23:53:00,75
10/5/2019,00:53:00,71
10/5/2019,01:53:00,71
10/5/2019,02:53:00,70
10/5/2019,03:53:00,69
10/5/2019,04:53:00,69
10/5/2019,05:53:00,71
10/5/2019,06:53:00,76
10/5/2019,07:53:00,80
10/5/2019,08:53:00,84
10/5/2019,09:53:00,88
10/5/2019,10:53:00,92
10/5/2019,11:53:00,95
10/5/2019,12:53:00,95
10/5/2019,13:53:00,96
10/5/2019,14:53:00,95
10/5/2019,15:53:00,87
10/5/2019,16:08:00,84
10/5/2019,16:53:00,80
10/5/2019,17:53:00,79
10/5/2019,18:53:00,79
10/5/2019,19:00:00,80
10/5/2019,19:10:00,79
10/5/2019,19:47:00,75
10/5/2019,19:51:00,75
10/5/2019,19:53:00,75
